ProbenNrPseud,Target_Adverse,PnMgT,MatrixGrT,MatrixT,BetriebsartT,Country_Feature,Processing_Feature,Packaging_Feature,Sampling_Date,Sampling_Month
128,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Tunesien,Entsteint/entstielt,Kunststoff/-folie,2023-04-24,4
129,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Kiwi,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Unverarbeitet/roh,Unverpackt,2023-04-13,4
130,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Gewebe aus Kunstfaser,2023-10-05,10
131,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Roggenvollkornmehl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Gemahlen/geschrotet,Papier,2023-06-28,6
132,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Roggenvollkornmehl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Papier,2023-06-28,6
133,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Kiwi,Großhändler von Obst und Gemüse und -erzeugnissen,Italien,Keine Angabe,Unverpackt,2023-04-25,4
134,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Dinkelvollkornmehl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Gemahlen/geschrotet,Papier,2023-02-28,2
136,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Feldsalat,Großhändler von Verpackungen von Lebensmitteln und Bedarfsgegenständen,Italien,Keine Angabe,Keine Angabe,2023-10-09,10
137,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittellager Zentrallager,Spanien,Keine Angabe,Keine Angabe,2023-07-19,7
138,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Großhändler für Lebensmitteleinzelhandel (Vollsortiment),Italien,Keine Angabe,Keine Angabe,2023-05-16,5
139,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Weizenmehl Type 550,Brotfabrik/Großbäckerei,Deutschland,Keine Angabe,Kunststoff/-folie,2023-02-13,2
140,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Gartenbaubetrieb,Deutschland,Unverarbeitet/roh,Umhüllt,2023-10-18,10
142,0,Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Belgien,Unverarbeitet/roh,Verpackt,2023-10-02,10
144,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Tofu,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Europäische Union,Unbehandelt,Kombinationsverpackung aus Pappe und Folie,2023-05-05,5
145,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstücke Lamm/Schaf auch tiefgefroren,Metzgereifiliale Fleischereifiliale und (eigenständige) -verkaufsabteilung,Deutschland,Keine Angabe,Keine Angabe,2023-03-29,3
146,0,Monitoring-Planprobe,Käse,Blauschimmelkäse Doppelrahmstufe,Einzelhändler,Tschechische Republik,Keine Angabe,Keine Angabe,2023-02-02,2
147,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Großhändler von Obst und Gemüse und -erzeugnissen,Deutschland,Unverarbeitet/roh,Unverpackt,2023-08-10,8
148,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Sauerkirsche tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Keine Angabe,Keine Angabe,2023-07-10,7
151,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Clementine,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-01-12,1
152,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Bohne grüne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-07-19,7
153,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Gemahlen/geschrotet,Glas,2023-07-18,7
154,0,EG(KKP)- und Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne weiß,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Österreich,Unverarbeitet/roh,Kunststoff/-folie,2023-05-04,5
155,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Kunststoff/-folie,2023-02-08,2
156,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Erdnuss geröstet mit Schale,Lebensmittellager Zentrallager,Ägypten,Geröstet,Kunststoff/-folie,2023-08-25,8
157,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Fleischerei/Metzgerei mit Schlachthaus,Deutschland,Tiefgekühlt/tiefgefroren,Verpackt unter Vakuum,2023-03-06,3
159,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Obst- und Gemüseeinzelhandel und (eigenständige) -verkaufsabteilung,Deutschland,Unverarbeitet/roh,Unverpackt,2023-03-23,3
160,0,Monitoring-Planprobe,Fische und Fischzuschnitte,Kabeljau Filet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Island,Ohne Haut,Papier,2023-10-31,10
161,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Kiwi,Lebensmittellager Zentrallager,Italien,Keine Angabe,Keine Angabe,2023-01-30,1
162,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Keine Angabe,2023-03-01,3
163,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Einzelhändler,Spanien,Keine Angabe,Keine Angabe,2023-08-29,8
164,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Orange,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-01-26,1
165,0,Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Indien, einschl. Sikkim und Goa",Gereinigt,Verpackt,2023-03-28,3
166,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Süßkirsche,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Türkei,Keine Angabe,Keine Angabe,2023-07-11,7
167,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Feldsalat,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Unverarbeitet/roh,Kunststoff/-folie,2023-10-31,10
168,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Orange,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Südafrika,Keine Angabe,Keine Angabe,2023-10-23,10
169,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Frankreich, einschl. Korsika",Unverarbeitet/roh,Unverpackt,2023-05-25,5
170,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Lebensmittellager Zentrallager,Deutschland,Keine Angabe,Keine Angabe,2023-10-25,10
171,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Tunesien,Entsteint/entstielt,Kombinationsverpackung aus Pappe und Folie,2023-11-27,11
172,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Kiwi,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Griechenland,Keine Angabe,Unverpackt,2023-04-04,4
173,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Metzgereifiliale Fleischereifiliale und (eigenständige) -verkaufsabteilung,Deutschland,Keine Angabe,Keine Angabe,2023-10-23,10
174,1,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Gemahlen/geschrotet,Kunststoff/-folie,2023-07-04,7
175,0,EG(KKP)- und Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne weiß,Fleischzerlegungsbetrieb,Ohne Angabe,Keine Angabe,Kunststoff/-folie,2023-12-04,12
176,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Belgien,Unverarbeitet/roh,Kunststoff/-folie,2023-05-22,5
177,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen aufgebrochen/geschrotet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Indien, einschl. Sikkim und Goa",Gemahlen/geschrotet,Kunststoff/-folie,2023-01-10,1
178,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Mohn,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Keine Angabe,Kunststoff/-folie,2023-09-08,9
179,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Roggenvollkornmehl,Mühlenbetrieb,Deutschland,Gemahlen/geschrotet,Papier,2023-09-26,9
180,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Gemahlen/geschrotet,Kunststoff/-folie,2023-04-12,4
181,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Clementine,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-01-09,1
183,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Johannisbeere rot,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-07-24,7
184,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Bohne grüne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Äthiopien,Unverarbeitet/roh,Kunststoff/-folie,2023-06-20,6
185,0,EG(KKP)- und Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Keine Angabe,Keine Angabe,2023-09-25,9
186,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Mohn gemahlen,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Keine Angabe,Verpackt,2023-01-05,1
187,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Weizenmehl Type 550,Bäckerei,Deutschland,Keine Angabe,Kunststoff/-folie,2023-02-07,2
188,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Bohne grüne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Marokko,Keine Angabe,Kunststoff/-folie,2023-05-16,5
189,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Süßkirsche,Lebensmittellager Zentrallager,Türkei,Keine Angabe,Keine Angabe,2023-06-27,6
190,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Unverpackt,2023-05-23,5
191,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-08-21,8
192,0,Monitoring-Planprobe,Säuglings- und Kleinkindernahrungen,Säuglingsmilchnahrung PRE,Drogerie/Parfümerie,Deutschland,Getrocknet | Verzehrsfertig/tischfertig vor-/zubereitet,Kunststoff/-folie,2023-07-10,7
193,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Kunststoff/-folie,2023-04-18,4
194,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Erdnuss geröstet mit Schale,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ägypten,Geröstet,Kunststoff/-folie,2023-06-15,6
195,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen aufgebrochen/geschrotet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Gemahlen/geschrotet,Verpackt,2023-03-07,3
196,0,EG(KKP)- und Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Ungeschält,Kombinationsverpackung aus Pappe und Folie,2023-05-03,5
197,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne schwarz,Großhändler für Lebensmitteleinzelhandel (Vollsortiment),Ungeklärt,Getrocknet,Verpackt,2023-01-18,1
198,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Ente auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Tiefgekühlt/tiefgefroren,Verpackt,2023-11-13,11
199,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Roggenvollkornmehl,Bäckerei,Deutschland,Keine Angabe,Kunststoff/-folie,2023-06-28,6
200,0,Monitoring-Projektprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Rotalge; Nori; Seegras (Porphyra ssp.) getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Japan,Geröstet,Kunststoff/-folie,2023-07-11,7
201,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Keine Angabe,Keine Angabe,2023-04-19,4
202,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Feldsalat,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Unverarbeitet/roh,Kunststoff/-folie,2023-02-14,2
203,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Gewürzmühle Hersteller von Gewürzzubereitungen und würzenden Lebensmitteln,Ungeklärt,Gemahlen/geschrotet,Unverpackt,2023-04-26,4
204,0,Monitoring-Planprobe,Fische und Fischzuschnitte,Kabeljau (Gadus morhua) Seefisch,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Ohne Haut,Verpackt,2023-02-20,2
205,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Obst- und Gemüseeinzelhandel und (eigenständige) -verkaufsabteilung,Niederlande,Unverarbeitet/roh,Unverpackt,2023-06-28,6
206,0,EG(KKP)- und Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Direktvermarkter Fleisch Fleischerzeugnisse Wurstwaren,Deutschland,Unverarbeitet/roh,Umhüllt,2023-05-12,5
208,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Aprikose getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Geschwefelt,Keine Angabe,2023-04-11,4
209,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Wildschwein auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Frankreich, einschl. Korsika",Tiefgekühlt/tiefgefroren,Verpackt unter Vakuum,2023-01-27,1
210,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-09-21,9
211,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Obst- und Gemüseeinzelhandel und (eigenständige) -verkaufsabteilung,Spanien,Unverarbeitet/roh,Umhüllt,2023-01-17,1
212,0,Monitoring-Projektprobe,Süßwaren ausgenommen 440000,Lakritz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Keine Angabe,Keine Angabe,2023-07-19,7
213,0,EG(KKP)- und Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstücke Lamm/Schaf auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Neuseeland,Tiefgekühlt/tiefgefroren,Keine Angabe,2023-01-23,1
215,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Gemahlen/geschrotet,Glas farblos,2023-05-10,5
216,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Unverpackt,2023-09-12,9
217,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Süßkirsche,Erzeuger von Obst,Deutschland,Unverarbeitet/roh,Polyethylen,2023-06-29,6
218,0,Monitoring-Planprobe,Getreide,Roggenkörner,Brotfabrik/Großbäckerei,Deutschland,Keine Angabe,Kunststoff/-folie,2023-07-12,7
220,0,Monitoring-Projektprobe,Tees und teeähnliche Erzeugnisse,Mischungen teeähnlicher Erzeugnisse,Drogerie/Parfümerie,Deutschland,Keine Angabe,Kunststoff/-folie,2023-07-04,7
221,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel vorwiegend festkochend,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-10-16,10
222,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Orange,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Portugal,Unverarbeitet/roh,Umhüllt,2023-02-13,2
223,0,Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel mehlig kochend,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ägypten,Keine Angabe,Keine Angabe,2023-06-12,6
224,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Kunststoff/-folie,2023-02-20,2
225,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Unverpackt,2023-09-18,9
226,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Prawns (Aristeomorpha sp.),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Honduras,Tiefgekühlt/tiefgefroren,Kunststoff/-folie,2023-02-09,2
227,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Direktvermarkter/Verkaufsstelle Obst und Gemüse,Deutschland,Unverarbeitet/roh,Keine Angabe,2023-09-20,9
228,0,Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Gereinigt,Verpackt,2023-07-11,7
229,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Großhändler von Obst und Gemüse und -erzeugnissen,Deutschland,Gemahlen/geschrotet,Glas,2023-02-28,2
230,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-02-15,2
231,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Großhändler von Obst und Gemüse und -erzeugnissen,"Frankreich, einschl. Korsika",Keine Angabe,Kunststoff/-folie,2023-02-14,2
232,0,Monitoring-Projektprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Rotalge; Nori; Seegras (Porphyra ssp.) getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"China, einschl. Tibet",Geröstet,Kunststoff/-folie,2023-11-29,11
233,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Roggenvollkornmehl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-06-27,6
234,0,Monitoring-Planprobe,Käse,Blauschimmelkäse Doppelrahmstufe,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Verpackt,2023-09-26,9
