ProbenNrPseud,Target_Adverse,PnMgT,MatrixGrT,MatrixT,BetriebsartT,Country_Feature,Processing_Feature,Packaging_Feature,Sampling_Date,Sampling_Month
5160,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Tunesien,Keine Angabe,Kombinationsverpackung aus Pappe und Folie,2023-02-27,2
5161,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Österreich,Keine Angabe,Keine Angabe,2023-10-04,10
5162,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Johannisbeere rot,Lebensmittellager Zentrallager,Deutschland,Keine Angabe,Keine Angabe,2023-07-04,7
5163,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Tofu,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Europäische Union,Keine Angabe,Verpackt,2023-09-06,9
5164,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Brust Ente auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Frankreich, einschl. Korsika",Tiefgekühlt/tiefgefroren,Kunststoff/-folie,2023-12-12,12
5165,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne weiß,Reformhaus/Naturkostladen,"China, einschl. Tibet",Getrocknet,Kunststoff/-folie,2023-06-23,6
5167,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Pflaume getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Chile,Entsteint/entstielt,Verbundmaterial,2023-11-14,11
5168,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Dominikanische Republik,Unverarbeitet/roh,Unverpackt,2023-09-11,9
5170,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Wildschwein auch tiefgefroren,Haarwild-Bearbeitungsbetrieb,Deutschland,Küchenfertig vor-/zubereitet,Umhüllt,2023-02-23,2
5171,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Umhüllt,2023-11-01,11
5172,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Algerien,Entsteint/entstielt,Verbundmaterial,2023-09-27,9
5173,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Geißelgarnele (Penaeidae sp.),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Geschält/geschabt,Kombinationsverpackung aus Pappe und Folie,2023-01-18,1
5174,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Südafrika,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-10-26,10
5175,0,Monitoring-Planprobe,Säuglings- und Kleinkindernahrungen,Säuglingsmilchnahrung,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Getrocknet | Verzehrsfertig/tischfertig vor-/zubereitet,Kunststoff/-folie,2023-06-28,6
5176,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Kunststoff/-folie,2023-08-25,8
5177,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Sri Lanka,Gemahlen/geschrotet,Kunststoff/-folie,2023-04-12,4
5178,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Erzeuger von Gemüse,Deutschland,Keine Angabe,Unverpackt,2023-03-24,3
5179,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Wildschwein auch tiefgefroren,Direktvermarkter Wildfleisch,Deutschland,Unverarbeitet/roh,Keine Angabe,2023-10-19,10
5180,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-10-12,10
5181,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Lebensmitteleinzelhandel,Deutschland,Keine Angabe,Keine Angabe,2023-08-22,8
5182,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen,Drogerie/Parfümerie,Kasachstan,Unverarbeitet/roh,Verpackt,2023-02-07,2
5183,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Tofu,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Europäische Union,Keine Angabe,Verpackt,2023-09-25,9
